[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Brick, 2 = Candle , 3 = Gate
# Simon
0	768	370	1	8	10	176	1	0
# Brick
1	0	240	2	1
1	32	240	2	1
1	128	304	2	1
1	160	304	2	1
1	192	240	2	1
1	224	240	2	1
1	256	240	2	1
1	288	240	2	1
1	384	240	2	1
1	416	240	2	1
1	448	240	2	1
1	480	240	2	1
1	512	240	2	1
1	544	240	2	1
1	576	304	2	1
1	608	304	2	1
1	640	368	2	1
1	672	368	2	1
#1	704	240	2	1
1	704	272	2	1
1	704	304	2	1
1	704	336	2	1
1	704	368	2	1
1	736	240	2	1
1	768	240	2	1
1	800	240	2	1
1	832	240	2	1
1	864	240	2	1
1	928	304	2	1
1	960	80	2	1
1	960	112	2	1
1	960	144	2	1
1	960	176	2	1
1	960	208	2	1
1	960	240	2	1
1	960	272	2	1
1	960	304	2	1
# Gate
3	736	464	2
3	-30	144	4
# Stair
4	768	432	7	0
4	800	400	7	0
4	832	368	7	0
4	864	336	7	0
4	896	304	7	1
# BreakBrick
5	704	240	1	14
# Moving PlatForm
6	68	240	18
